DateTime,Entries,UniqueIPs
1539889941,1054,1054
1539890888,1053,1053
1539891878,1064,1064
1539892844,1069,1069
1539893777,1071,1071
1539894738,1069,1069
1539895710,1065,1065
1539896658,1066,1066
1539897613,1063,1063
1539898589,1058,1058
1539899531,1055,1055
1539900507,1058,1058
1539901452,1068,1068
1539902415,1072,1072
1539903374,1073,1073
1539904345,1062,1062
1539906053,1061,1061
1539907222,1042,1042
1539908186,1033,1033
1539909137,1034,1034
1539910116,1030,1030
1539911077,1014,1014
1539912011,1003,1003
1539912981,1001,1001
1539913950,1001,1001
1539914911,999,999
1539915858,1006,1006
1539916817,998,998
1539917813,985,985
1539918735,986,986
1539919693,986,986
1539920671,985,985
1539921687,986,986
1539922599,988,988
1539923540,982,982
1539924494,978,978
1539925466,967,967
1539926412,968,968
1539927390,977,977
1539928330,974,974
1539929300,1001,1001
1539930257,1000,1000
1539931216,1004,1004
1539932174,1005,1005
1539933141,1010,1010
1539934107,1008,1008
1539935054,1015,1015
1539936023,1027,1027
1539936989,1015,1015
1539937940,1015,1015
1539938897,1008,1008
1539939866,1011,1011
1539940943,1004,1004
1539942029,1019,1019
1539943239,1022,1022
1539944182,1018,1018
1539945140,1016,1016
1539946096,1032,1032
1539947083,1038,1038
1539948258,1030,1030
1539949474,1024,1024
1539950465,1024,1024
1539951386,1017,1017
1539952354,1021,1021
1539953293,1020,1020
1539954268,1025,1025
1539955208,1029,1029
1539956183,1032,1032
1539957153,1045,1045
1539958100,1048,1048
1539959054,1050,1050
1539960011,1057,1057
1539960990,1056,1056
1539961938,1061,1061
1539962888,1057,1057
1539963999,1044,1044
1539965117,1040,1040
1539966271,1037,1037
1539967210,1035,1035
1539968168,1030,1030
1539969154,1030,1030
1539970092,1032,1032
1539971052,1032,1032
1539972010,1032,1032
1539972977,1035,1035
1539973938,1036,1036
1539974904,1037,1037
1539975867,1036,1036
1539976817,1035,1035
1539977778,1036,1036
1539978731,1037,1037
1539979710,1038,1038
1539980673,1041,1041
1539981616,1044,1044
1539982574,1050,1050
1539983543,1053,1053
1539984501,1052,1052
1539985457,1059,1059
1539986425,1071,1071
1539987381,1078,1078
1539988338,1082,1082
1539989291,1087,1087
1539990276,1086,1086
1539991208,1093,1093
1539992170,1091,1091
1539993155,1095,1095
1539994094,1105,1105
1539995052,1113,1113
1539996016,1127,1127
1539996978,1132,1132
1539997944,1129,1129
1539998891,1137,1137
1539999870,1127,1127
1540000816,1135,1135
1540001774,1138,1138
1540002756,1143,1143
1540003699,1140,1140
1540004661,1132,1132
1540005612,1138,1138
1540006591,1141,1141
1540007530,1134,1134
1540008496,1136,1136
1540009469,1140,1140
1540010409,1147,1147
1540011368,1148,1148
1540012337,1150,1150
1540013288,1155,1155
1540014269,1151,1151
1540015218,1145,1145
1540016186,1144,1144
1540017163,1130,1130
1540018090,1133,1133
1540019078,1137,1137
1540020012,1135,1135
1540020973,1136,1136
1540021931,1135,1135
1540022898,1143,1143
1540023885,1146,1146
1540024838,1147,1147
1540025787,1142,1142
1540026763,1134,1134
1540027693,1140,1140
1540028657,1140,1140
1540029617,1134,1134
1540030592,1140,1140
1540031546,1141,1141
1540032495,1142,1142
1540033463,1142,1142
1540034415,1152,1152
1540035388,1153,1153
1540036339,1157,1157
1540037294,1156,1156
1540038261,1158,1158
1540039210,1162,1162
1540040187,1168,1168
1540041161,1173,1173
1540042096,1166,1166
1540043055,1166,1166
1540044038,1158,1158
1540044991,1165,1165
1540045946,1176,1176
1540046893,1167,1167
1540047871,1152,1152
1540048820,1149,1149
1540049793,1158,1158
1540050739,1157,1157
1540051749,1137,1137
1540052656,1141,1141
1540053623,1142,1142
1540054576,1139,1139
1540055545,1126,1126
1540056490,1125,1125
1540057467,1118,1118
1540058433,1114,1114
1540059385,1106,1106
1540060341,1104,1104
1540061300,1096,1096
1540062259,1098,1098
1540063216,1091,1091
1540064171,1087,1087
1540065163,1084,1084
1540066094,1086,1086
1540067074,1083,1083
1540068014,1074,1074
1540068982,1064,1064
1540069941,1064,1064
1540070896,1065,1065
1540071854,1066,1066
1540072847,1059,1059
1540073783,1060,1060
1540074742,1051,1051
1540075763,1061,1061
1540076676,1067,1067
1540077614,1058,1058
1540078587,1058,1058
1540079531,1046,1046
1540080515,1029,1029
1540081476,1008,1008
1540082441,1013,1013
1540083373,1002,1002
1540084345,1013,1013
1540085289,1010,1010
1540086261,1001,1001
1540087232,996,996
1540088193,997,997
1540089150,1001,1001
1540090098,989,989
1540091060,991,991
1540092031,983,983
1540092983,994,994
1540093944,1002,1002
1540094896,1005,1005
1540095863,990,990
1540096813,984,984
1540097793,985,985
1540098762,990,990
1540099697,993,993
1540100653,999,999
1540101642,997,997
1540102590,990,990
1540103549,992,992
1540104495,979,979
1540105724,981,981
1540106896,970,970
1540107858,963,963
1540108823,953,953
1540109791,951,951
1540110748,947,947
1540111696,950,950
1540112780,959,959
1540113857,955,955
1540114814,952,952
1540115793,947,947
1540116735,943,943
1540117693,945,945
1540118655,945,945
1540119627,949,949
1540120594,952,952
1540121546,947,947
1540122495,950,950
1540123480,948,948
1540124410,954,954
1540125374,954,954
1540126340,947,947
1540127819,948,948
1540128732,948,948
1540129696,948,948
1540130665,945,945
1540131624,958,958
1540132590,953,953
1540133537,958,958
1540134498,956,956
1540135482,949,949
1540136411,947,947
1540137374,948,948
1540138469,950,950
1540139804,946,946
1540140734,942,942
1540141714,941,941
1540142664,942,942
1540143619,954,954
1540144577,960,960
1540145552,965,965
1540146492,965,965
1540147460,960,960
1540148441,952,952
1540149384,947,947
1540150338,943,943
1540151298,933,933
1540152262,937,937
1540153212,935,935
1540154189,933,933
1540155137,937,937
1540156104,934,934
1540157056,926,926
1540158015,915,915
1540158994,915,915
1540159934,919,919
1540160892,921,921
1540161856,913,913
1540162835,908,908
1540163789,900,900
1540164742,897,897
1540165712,892,892
1540166659,881,881
1540167615,865,865
1540168584,858,858
1540169555,837,837
1540170519,831,831
1540171452,816,816
1540172421,812,812
1540173375,806,806
1540174343,802,802
1540175313,802,802
1540176255,807,807
1540177238,821,821
1540178178,815,815
1540179146,817,817
1540180109,821,821
1540181078,830,830
1540182016,829,829
1540182985,837,837
1540183935,855,855
1540184900,864,864
1540185868,886,886
1540186814,887,887
1540187777,906,906
1540188740,908,908
1540189695,919,919
1540190656,916,916
1540191621,923,923
1540192589,916,916
1540193543,918,918
1540194493,916,916
1540195479,931,931
1540196421,953,953
1540197374,958,958
1540198341,969,969
1540199820,975,975
1540200741,977,977
1540201697,979,979
1540202785,990,990
1540203869,990,990
1540204809,988,988
1540205769,977,977
1540206758,973,973
1540207688,963,963
1540208651,957,957
1540209669,961,961
1540210591,964,964
1540211547,972,972
1540212491,967,967
1540213475,966,966
1540214411,966,966
1540215389,966,966
1540216339,970,970
1540217299,974,974
1540218272,970,970
1540219215,969,969
1540220175,966,966
1540221149,967,967
1540222089,970,970
1540223062,961,961
1540224034,969,969
1540224985,967,967
1540225939,966,966
1540226922,977,977
1540227855,965,965
1540228822,962,962
1540229778,957,957
1540230740,954,954
1540231700,963,963
1540232658,963,963
1540233609,965,965
1540234601,965,965
1540235536,965,965
1540236492,974,974
1540237479,980,980
1540238441,979,979
1540239386,973,973
1540240343,967,967
1540241291,975,975
1540242269,978,978
1540243209,978,978
1540244194,976,976
1540245136,969,969
1540246116,967,967
1540247065,964,964
1540248016,964,964
1540248980,971,971
1540249966,964,964
1540251135,960,960
1540252093,963,963
1540253061,958,958
1540254017,947,947
1540254979,935,935
1540255934,914,914
1540256916,901,901
1540257851,893,893
1540258809,901,901
1540259790,894,894
1540260734,900,900
1540261692,916,916
1540262652,920,920
1540263616,908,908
1540264605,910,910
1540265551,920,920
1540266491,916,916
1540267470,906,906
1540268409,904,904
1540269400,904,904
1540270333,914,914
1540271310,916,916
1540272253,915,915
1540273225,925,925
1540274173,917,917
1540275165,909,909
1540276098,916,916
1540277071,915,915
1540278287,909,909
1540279461,900,900
1540280412,902,902
1540281392,899,899
1540282595,897,897
1540283559,903,903
1540284491,906,906
1540285463,913,913
1540286418,920,920
1540287379,931,931
1540288338,942,942
1540289318,948,948
1540290276,946,946
1540291210,941,941
1540292168,945,945
1540293144,946,946
1540294093,948,948
1540295062,946,946
1540296052,949,949
1540296987,947,947
1540297937,952,952
1540298895,953,953
1540299859,957,957
1540300811,961,961
1540301788,957,957
1540302732,959,959
1540303703,961,961
1540304673,962,962
1540305633,950,950
1540306588,943,943
1540307560,948,948
1540308516,953,953
1540309471,955,955
1540310422,958,958
1540311382,963,963
1540312338,971,971
1540313318,978,978
1540314518,980,980
1540315470,982,982
1540316428,974,974
1540317388,971,971
1540318353,966,966
1540319291,972,972
1540320256,985,985
1540321244,992,992
1540322199,991,991
1540323154,997,997
1540324114,997,997
1540325076,993,993
1540326009,1005,1005
1540326982,1006,1006
1540327959,1009,1009
1540328895,1008,1008
1540329858,1012,1012
1540330815,1011,1011
1540331777,1019,1019
1540332742,1008,1008
1540333689,1009,1009
1540334669,1006,1006
1540335641,994,994
1540336599,984,984
1540337555,986,986
1540338492,983,983
1540339480,976,976
1540340452,962,962
1540341399,960,960
1540342360,950,950
1540343318,939,939
1540344272,920,920
1540345481,917,917
1540346456,910,910
1540347399,900,900
1540348333,890,890
1540349298,893,893
1540350263,898,898
1540351211,889,889
1540352194,889,889
1540353130,880,880
1540354113,877,877
1540355065,884,884
1540356019,893,893
1540356989,896,896
1540357955,893,893
1540358930,895,895
1540360096,897,897
1540361066,905,905
1540362021,904,904
1540362989,898,898
1540363940,909,909
1540365142,923,923
1540366093,919,919
1540367079,928,928
1540368260,924,924
1540369233,928,928
1540370178,954,954
1540371140,955,955
1540372123,956,956
1540373058,945,945
1540374010,944,944
1540374996,957,957
1540375933,963,963
